Arizona_state	AZ	Southwest
Baylor	TX	Southwest
BC	MA	Northeast
Brandeis	MA	Northeast
Brown	RI	Ivy
BU	MA	Northeast
Columbia	NY	Ivy
Cornell	NY	Ivy
Colorado_state	CO	Mountain
Dartmouth	VT	Private
Delaware	DE	Northeast
Duke	NC	MidAtlantic
Emory	GA	South
Florida_state	FL	Southeast
Harvard	MA	Ivy
Howard	MD	HB
Idaho_State	ID	Mountain
Idaho	ID	Mountain
Indiana	IN	Midwest
JHU	MD	MidAtlantic
Kansas	KS	Midwest
Kentucky	KY	Midwest
Loyola	IL	Midwest
Michigan_state	MI	Midwest
Minnesota	MN	Midwest
MIT	MA	Ivy
Montana	MT	Mountain
Morehouse	GA	HB
NCState	NC	MidAtlantic
NMSU	NM	Southeast
Ohio_state	OH	Midwest
Oregon_state	OR	Mountain
Pitt	PA	MidAtlantic
Princeton	NJ	Ivy
Penn_state	PA	MidAtlantic
Rice	TX	Southeast
Rochester	NY	Northeast
SDSU	CA	West
SJSU	CA	West
Stanford	CA	West
Temple	PA	MidAtlantic
Texas_AM	TX	Southeast
Toledo	OH	Midwest
Tulane	LA	South
Arizona	AZ	Southeast
UAB	AB	South
UCB	CA	West
UCD	CA	West
UCI	CA	West
UCLA	CA	West
UCM	CA	West
UColorado	CO	Mountain
UCSB	CA	West
UCSC	CA	West
UCSD	CA	West
Florida	FL	Southeast
UGA	GA	South
UH	HI	West
UIUC	IL	Midwest
Michigan	MI	Midwest
UMBC	MD	MidAtlantic
UNC	NC	MidAtlantic
UNM	NM	Southeast
UOregon	OR	West
UPenn	PA	Ivy
USC	CA	West
Utah	UT	Mountain
UTAustin	TX	Southeast
Virginia	VA	MidAtlantic
UW	WA	West
UWisc	WI	Midwest
Vanderbilt	TN	MidAtlantic
VCU	VA	MidAtlantic
WashU	WA	Midwest
Wayne_state	MI	Midwest
WSU	WA	Mountain
Yale	CT	Ivy
Cincinnati	OH	Midwest
CWRU	OH	Midwest
Iowa_state	IA	Midwest
Iowa	IA	Midwest
Nebraska_Omaha	NE	Midwest
Northeastern	MA	Northeast
Northwestern	IL	Midwest
SLO	CA	West
Wyoming	WY	Mountain
Caltech	CA	West
Purdue	IN	Midwest
Miami	FL	Southeast
Rutgers	NJ	MidAtlantic
Maryland	MD	MidAtlantic
NYU	NY	Northeast
Notre_dame	IN	Midwest
Connecticut	CT	Northeast
Carnegie_mellon	PA	MidAtlantic
Idaho_state	ID	Mountain
USA	USA	USA